date,contour,pct_snow,pct_clouds
2017-08-11,1800,0.117,0.198
2017-08-11,1900,0.271,0.198
2017-08-11,2000,0.354,0.198
2017-08-11,2100,0.472,0.198
2017-08-11,2200,0.529,0.198
2017-08-11,2300,0.591,0.198
2017-08-11,2400,0.683,0.198
2017-08-11,2500,0.736,0.198
2017-08-11,2600,0.793,0.198
2017-08-11,2700,0.786,0.198
2017-08-11,2800,0.715,0.198
2017-08-11,2900,0.704,0.198
2017-08-11,3000,0.644,0.198
2017-08-11,3100,0.633,0.198
2017-08-11,3200,0.646,0.198
2017-08-11,3300,0.55,0.198
2017-08-11,3400,0.42,0.198
2017-08-26,1300,0.0,0.0
2017-08-26,1400,0.0,0.0
2017-08-26,1500,0.0,0.0
2017-08-26,1600,0.0,0.0
2017-08-26,1700,0.008,0.0
2017-08-26,1800,0.038,0.0
2017-08-26,1900,0.135,0.0
2017-08-26,2000,0.276,0.0
2017-08-26,2100,0.416,0.0
2017-08-26,2200,0.5,0.0
2017-08-26,2300,0.625,0.0
2017-08-26,2400,0.716,0.0
2017-08-26,2500,0.749,0.0
2017-08-26,2600,0.853,0.0
2017-08-26,2700,0.888,0.0
2017-08-26,2800,0.865,0.0
2017-08-26,2900,0.837,0.0
2017-08-26,3000,0.757,0.0
2017-08-26,3100,0.727,0.0
2017-08-26,3200,0.721,0.0
2017-08-26,3300,0.565,0.0
2017-08-26,3400,0.259,0.0
2017-08-31,1300,0.0,0.0
2017-08-31,1400,0.0,0.0
2017-08-31,1500,0.0,0.0
2017-08-31,1600,0.0,0.0
2017-08-31,1700,0.008,0.0
2017-08-31,1800,0.026,0.0
2017-08-31,1900,0.093,0.0
2017-08-31,2000,0.209,0.0
2017-08-31,2100,0.351,0.0
2017-08-31,2200,0.412,0.0
2017-08-31,2300,0.533,0.0
2017-08-31,2400,0.662,0.0
2017-08-31,2500,0.685,0.0
2017-08-31,2600,0.781,0.0
2017-08-31,2700,0.856,0.0
2017-08-31,2800,0.84,0.0
2017-08-31,2900,0.799,0.0
2017-08-31,3000,0.744,0.0
2017-08-31,3100,0.65,0.0
2017-08-31,3200,0.597,0.0
2017-08-31,3300,0.498,0.0
2017-08-31,3400,0.033,0.0
2017-09-20,1300,0.715,0.878
2017-09-20,1400,0.698,0.878
2017-09-20,1500,0.799,0.878
2017-09-20,1600,0.85,0.878
2017-09-20,1700,0.892,0.878
2017-09-20,1800,0.938,0.878
2017-09-20,1900,0.931,0.878
2017-09-20,2000,0.952,0.878
2017-09-20,2100,0.943,0.878
2017-09-20,2200,0.873,0.878
2017-09-20,2300,0.921,0.878
2017-09-20,2400,0.924,0.878
2017-09-20,2500,0.816,0.878
2017-09-20,2600,0.706,0.878
2017-09-20,2700,0.707,0.878
2017-09-20,2800,0.832,0.878
2017-09-20,2900,0.426,0.878
2017-09-20,3000,0.081,0.878
2017-09-20,3100,0.0,0.878
2017-09-20,3200,,0.878
2017-09-20,3300,,0.878
2017-09-20,3400,,0.878
2017-10-05,1300,0.0,0.0
2017-10-05,1400,0.0,0.0
2017-10-05,1500,0.0,0.0
2017-10-05,1600,0.002,0.0
2017-10-05,1700,0.295,0.0
2017-10-05,1800,0.753,0.0
2017-10-05,1900,0.805,0.0
2017-10-05,2000,0.859,0.0
2017-10-05,2100,0.878,0.0
2017-10-05,2200,0.909,0.0
2017-10-05,2300,0.921,0.0
2017-10-05,2400,0.907,0.0
2017-10-05,2500,0.848,0.0
2017-10-05,2600,0.88,0.0
2017-10-05,2700,0.927,0.0
2017-10-05,2800,0.906,0.0
2017-10-05,2900,0.846,0.0
2017-10-05,3000,0.808,0.0
2017-10-05,3100,0.8,0.0
2017-10-05,3200,0.856,0.0
2017-10-05,3300,0.885,0.0
2017-10-05,3400,0.958,0.0
2017-10-10,1300,0.0,0.112
2017-10-10,1400,0.0,0.112
2017-10-10,1500,0.03,0.112
2017-10-10,1600,0.484,0.112
2017-10-10,1700,0.687,0.112
2017-10-10,1800,0.8,0.112
2017-10-10,1900,0.854,0.112
2017-10-10,2000,0.872,0.112
2017-10-10,2100,0.941,0.112
2017-10-10,2200,0.958,0.112
2017-10-10,2300,0.964,0.112
2017-10-10,2400,0.928,0.112
2017-10-10,2500,0.895,0.112
2017-10-10,2600,0.929,0.112
2017-10-10,2700,0.946,0.112
2017-10-10,2800,0.92,0.112
2017-10-10,2900,0.898,0.112
2017-10-10,3000,0.84,0.112
2017-10-10,3100,0.859,0.112
2017-10-10,3200,0.859,0.112
2017-10-10,3300,0.878,0.112
2017-10-10,3400,0.85,0.112
2017-10-25,1300,0.0,0.044
2017-10-25,1400,0.049,0.044
2017-10-25,1500,0.221,0.044
2017-10-25,1600,0.389,0.044
2017-10-25,1700,0.594,0.044
2017-10-25,1800,0.769,0.044
2017-10-25,1900,0.789,0.044
2017-10-25,2000,0.783,0.044
2017-10-25,2100,0.764,0.044
2017-10-25,2200,0.756,0.044
2017-10-25,2300,0.772,0.044
2017-10-25,2400,0.822,0.044
2017-10-25,2500,0.813,0.044
2017-10-25,2600,0.853,0.044
2017-10-25,2700,0.696,0.044
2017-10-25,2800,0.29,0.044
2017-10-25,2900,0.206,0.044
2017-10-25,3000,0.056,0.044
2017-10-25,3100,0.024,0.044
2017-10-25,3200,0.0,0.044
2017-10-25,3300,0.205,0.044
2017-10-25,3400,0.422,0.044
2017-10-30,1300,0.0,0.0
2017-10-30,1400,0.0,0.0
2017-10-30,1500,0.013,0.0
2017-10-30,1600,0.011,0.0
2017-10-30,1700,0.124,0.0
2017-10-30,1800,0.428,0.0
2017-10-30,1900,0.573,0.0
2017-10-30,2000,0.688,0.0
2017-10-30,2100,0.7,0.0
2017-10-30,2200,0.748,0.0
2017-10-30,2300,0.738,0.0
2017-10-30,2400,0.763,0.0
2017-10-30,2500,0.797,0.0
2017-10-30,2600,0.811,0.0
2017-10-30,2700,0.867,0.0
2017-10-30,2800,0.831,0.0
2017-10-30,2900,0.786,0.0
2017-10-30,3000,0.743,0.0
2017-10-30,3100,0.747,0.0
2017-10-30,3200,0.795,0.0
2017-10-30,3300,0.796,0.0
2017-10-30,3400,0.822,0.0
2017-11-14,1300,0.997,1.0
2017-11-14,1400,1.0,1.0
2017-11-14,1500,0.996,1.0
2017-11-14,1600,1.0,1.0
2017-11-14,1700,1.0,1.0
2017-11-14,1800,1.0,1.0
2017-11-14,1900,1.0,1.0
2017-11-14,2000,1.0,1.0
2017-11-14,2100,1.0,1.0
2017-11-14,2200,1.0,1.0
2017-11-14,2300,1.0,1.0
2017-11-14,2400,1.0,1.0
2017-11-14,2500,1.0,1.0
2017-11-14,2600,,1.0
2017-11-14,2700,,1.0
2017-11-14,2800,,1.0
2017-11-14,2900,,1.0
2017-11-14,3000,,1.0
2017-11-14,3100,,1.0
2017-11-14,3200,,1.0
2017-11-14,3300,,1.0
2017-11-14,3400,,1.0
2017-11-19,1300,0.969,0.864
2017-11-19,1400,0.958,0.864
2017-11-19,1500,0.978,0.864
2017-11-19,1600,0.993,0.864
2017-11-19,1700,0.993,0.864
2017-11-19,1800,0.993,0.864
2017-11-19,1900,1.0,0.864
2017-11-19,2000,0.998,0.864
2017-11-19,2100,0.998,0.864
2017-11-19,2200,1.0,0.864
2017-11-19,2300,1.0,0.864
2017-11-19,2400,1.0,0.864
2017-11-19,2500,1.0,0.864
2017-11-19,2600,1.0,0.864
2017-11-19,2700,1.0,0.864
2017-11-19,2800,1.0,0.864
2017-11-19,2900,0.999,0.864
2017-11-19,3000,1.0,0.864
2017-11-19,3100,1.0,0.864
2017-11-19,3200,1.0,0.864
2017-11-19,3300,1.0,0.864
2017-11-19,3400,1.0,0.864
2017-11-24,1300,0.171,0.316
2017-11-24,1400,0.294,0.316
2017-11-24,1500,0.34,0.316
2017-11-24,1600,0.536,0.316
2017-11-24,1700,0.724,0.316
2017-11-24,1800,0.825,0.316
2017-11-24,1900,0.885,0.316
2017-11-24,2000,0.908,0.316
2017-11-24,2100,0.87,0.316
2017-11-24,2200,0.833,0.316
2017-11-24,2300,0.854,0.316
2017-11-24,2400,0.943,0.316
2017-11-24,2500,0.939,0.316
2017-11-24,2600,0.903,0.316
2017-11-24,2700,0.938,0.316
2017-11-24,2800,0.915,0.316
2017-11-24,2900,0.925,0.316
2017-11-24,3000,0.938,0.316
2017-11-24,3100,0.977,0.316
2017-11-24,3200,0.955,0.316
2017-11-24,3300,0.973,0.316
2017-11-24,3400,0.913,0.316
2017-12-04,1300,0.562,0.019
2017-12-04,1400,0.716,0.019
2017-12-04,1500,0.789,0.019
2017-12-04,1600,0.805,0.019
2017-12-04,1700,0.874,0.019
2017-12-04,1800,0.93,0.019
2017-12-04,1900,0.919,0.019
2017-12-04,2000,0.902,0.019
2017-12-04,2100,0.875,0.019
2017-12-04,2200,0.862,0.019
2017-12-04,2300,0.887,0.019
2017-12-04,2400,0.966,0.019
2017-12-04,2500,0.962,0.019
2017-12-04,2600,0.927,0.019
2017-12-04,2700,0.955,0.019
2017-12-04,2800,0.945,0.019
2017-12-04,2900,0.968,0.019
2017-12-04,3000,0.96,0.019
2017-12-04,3100,0.993,0.019
2017-12-04,3200,0.974,0.019
2017-12-04,3300,0.992,0.019
2017-12-04,3400,0.925,0.019
2017-12-09,1300,0.664,0.324
2017-12-09,1400,0.829,0.324
2017-12-09,1500,0.887,0.324
2017-12-09,1600,0.909,0.324
2017-12-09,1700,0.934,0.324
2017-12-09,1800,0.95,0.324
2017-12-09,1900,0.957,0.324
2017-12-09,2000,0.93,0.324
2017-12-09,2100,0.927,0.324
2017-12-09,2200,0.94,0.324
2017-12-09,2300,0.951,0.324
2017-12-09,2400,0.983,0.324
2017-12-09,2500,0.988,0.324
2017-12-09,2600,0.975,0.324
2017-12-09,2700,0.982,0.324
2017-12-09,2800,0.975,0.324
2017-12-09,2900,0.974,0.324
2017-12-09,3000,0.991,0.324
2017-12-09,3100,0.984,0.324
2017-12-09,3200,1.0,0.324
2017-12-09,3300,1.0,0.324
2017-12-09,3400,0.981,0.324
2018-02-07,1300,0.969,0.501
2018-02-07,1400,0.943,0.501
2018-02-07,1500,0.959,0.501
2018-02-07,1600,0.959,0.501
2018-02-07,1700,0.934,0.501
2018-02-07,1800,0.936,0.501
2018-02-07,1900,0.916,0.501
2018-02-07,2000,0.885,0.501
2018-02-07,2100,0.845,0.501
2018-02-07,2200,0.807,0.501
2018-02-07,2300,0.75,0.501
2018-02-07,2400,0.731,0.501
2018-02-07,2500,0.763,0.501
2018-02-07,2600,0.76,0.501
2018-02-07,2700,0.8,0.501
2018-02-07,2800,0.78,0.501
2018-02-07,2900,0.759,0.501
2018-02-07,3000,0.834,0.501
2018-02-07,3100,0.917,0.501
2018-02-07,3200,0.891,0.501
2018-02-07,3300,0.877,0.501
2018-02-07,3400,0.954,0.501
2018-02-12,1300,0.654,0.106
2018-02-12,1400,0.78,0.106
2018-02-12,1500,0.826,0.106
2018-02-12,1600,0.902,0.106
2018-02-12,1700,0.927,0.106
2018-02-12,1800,0.941,0.106
2018-02-12,1900,0.945,0.106
2018-02-12,2000,0.949,0.106
2018-02-12,2100,0.942,0.106
2018-02-12,2200,0.945,0.106
2018-02-12,2300,0.911,0.106
2018-02-12,2400,0.906,0.106
2018-02-12,2500,0.931,0.106
2018-02-12,2600,0.933,0.106
2018-02-12,2700,0.967,0.106
2018-02-12,2800,0.94,0.106
2018-02-12,2900,0.951,0.106
2018-02-12,3000,0.932,0.106
2018-02-12,3100,0.966,0.106
2018-02-12,3200,0.966,0.106
2018-02-12,3300,0.982,0.106
2018-02-12,3400,0.838,0.106
2018-02-22,1300,0.937,0.795
2018-02-22,1400,0.934,0.795
2018-02-22,1500,0.94,0.795
